OrderConfirmationTime,Revenue,Prediction
2022-03-03,0,
2022-03-04,1000,
2022-03-05,225,
2022-03-06,0,
2022-03-07,0,
2022-03-08,0,
2022-03-09,0,
2022-03-10,1850,
2022-03-11,420,
2022-03-12,550,
2022-03-13,0,
2022-03-14,0,
2022-03-15,150,
2022-03-16,0,
2022-03-17,3020,
2022-03-18,16,
2022-03-19,0,
2022-03-20,0,
2022-03-21,2000,
2022-03-22,0,
2022-03-23,0,
2022-03-24,0,
2022-03-25,300,
2022-03-26,125,
2022-03-27,80,
2022-03-28,0,
2022-03-29,25,
2022-03-30,0,
2022-03-31,60,
2022-04-01,0,
2022-04-02,0,
2022-04-03,0,
2022-04-04,0,
2022-04-05,75,
2022-04-06,0,
2022-04-07,7500,
2022-04-08,400,
2022-04-09,0,
2022-04-10,0,
2022-04-11,0,
2022-04-12,2400,
2022-04-13,348,
2022-04-14,260,
2022-04-15,6060,
2022-04-16,0,
2022-04-17,400,
2022-04-18,270,
2022-04-19,480,
2022-04-20,2400,
2022-04-21,200,
2022-04-22,200,
2022-04-23,7200,
2022-04-24,5200,
2022-04-25,0,
2022-04-26,0,
2022-04-27,105,
2022-04-28,5000,
2022-04-29,0,
2022-04-30,0,
2022-05-01,120,
2022-05-02,540,
2022-05-03,4800,
2022-05-04,54,
2022-05-05,4800,
2022-05-06,8655,
2022-05-07,450,
2022-05-08,2500,
2022-05-09,0,
2022-05-10,0,
2022-05-11,1000,
2022-05-12,0,
2022-05-13,0,
2022-05-14,2000,
2022-05-15,0,
2022-05-16,0,
2022-05-17,0,
2022-05-18,50,
2022-05-19,0,
2022-05-20,0,
2022-05-21,135,
2022-05-22,160,
2022-05-23,0,
2022-05-24,35,
2022-05-25,200,
2022-05-26,175,
2022-05-27,0,
2022-05-28,150,
2022-05-29,600,
2022-05-30,400,
2022-05-31,0,
2022-06-01,100,
2022-06-02,1200,
2022-06-03,0,
2022-06-04,200,
2022-06-05,180,
2022-06-06,0,
2022-06-07,200,
2022-06-08,1600,
2022-06-09,160,
2022-06-10,0,
2022-06-11,35,
2022-06-12,250,
2022-06-13,0,
2022-06-14,2040,
2022-06-15,125,
2022-06-16,7780,
2022-06-17,190,
2022-06-18,0,
2022-06-19,440,
2022-06-20,220,
2022-06-21,0,
2022-06-22,25,
2022-06-23,240,
2022-06-24,200,
2022-06-25,140,
2022-06-26,4500,
2022-06-27,125,
2022-06-28,80,
2022-06-29,1650,
2022-06-30,0,
2022-07-01,280,
2022-07-02,25,
2022-07-03,0,
2022-07-04,3000,
2022-07-05,50,
2022-07-06,7395,
2022-07-07,240,
2022-07-08,1725,
2022-07-09,0,
2022-07-10,150,
2022-07-11,490,
2022-07-12,0,
2022-07-13,0,
2022-07-14,0,
2022-07-15,2500,
2022-07-16,710,
2022-07-17,0,
2022-07-18,0,
2022-07-19,400,
2022-07-20,1665,
2022-07-21,60,
2022-07-22,0,
2022-07-23,0,
2022-07-24,105,
2022-07-25,18,
2022-07-26,1590,
2022-07-27,2800,
2022-07-28,25,
2022-07-29,286,
2022-07-30,18,
2022-07-31,7200,
2022-08-01,0,
2022-08-02,0,
2022-08-03,0,
2022-08-04,0,
2022-08-05,0,
2022-08-06,90,
2022-08-07,280,
2022-08-08,0,
2022-08-09,210,
2022-08-10,0,
2022-08-11,0,
2022-08-12,99,
2022-08-13,3200,
2022-08-14,48,
2022-08-15,32,
2022-08-16,0,
2022-08-17,70,
2022-08-18,70,
2022-08-19,1500,
2022-08-20,0,
2022-08-21,0,
2022-08-22,0,
2022-08-23,478,
2022-08-24,726,
2022-08-25,0,
2022-08-26,120,
2022-08-27,0,
2022-08-28,600,
2022-08-29,0,
2022-08-30,150,
2022-08-31,0,
2022-09-01,0,
2022-09-02,270,
2022-09-03,800,
2022-09-04,9000,
2022-09-05,0,
2022-09-06,0,
2022-09-07,800,
2022-09-08,6000,
2022-09-09,1500,
2022-09-10,0,
2022-09-11,0,
2022-09-12,0,
2022-09-13,1545,
2022-09-14,1572,
2022-09-15,152,
2022-09-16,35,
2022-09-17,36,
2022-09-18,0,
2022-09-19,600,
2022-09-20,0,
2022-09-21,0,
2022-09-22,210,
2022-09-23,105,
2022-09-24,168,
2022-09-25,370,
2022-09-26,80,
2022-09-27,520,
2022-09-28,7410,
2022-09-29,315,
2022-09-30,210,
2022-10-01,110,
